Metric,Min,Mean,Median,Max,Std
Size Metric,22.0,29.848,30.0,34.0,1.072144568565086
Density Metric,0.6666666666666666,0.888345276945277,0.875,1.3333333333333333,0.0808239995336531
Separability Metric,0.029411764705882353,0.15611718246647774,0.16666666666666666,0.3076923076923077,0.04741028936808011
Constraint Variability Metric,0.0,0.7893910550304521,0.8261650471771163,1.0,0.17212830472210697
