Metric,Min,Mean,Median,Max,Std
Size Metric,17.0,19.852,20.0,21.0,0.5129801110935102
Density Metric,0.5,0.821863492063492,0.8333333333333334,1.0,0.08109157396693373
Separability Metric,0.05,0.16038309499238293,0.15,0.35294117647058826,0.047540944499534527
Constraint Variability Metric,0.0,0.7680196177493731,0.8023720612474544,1.0,0.21133960016505557
