Metric,Min,Mean,Median,Max,Std
Size Metric,24.0,28.936,30.0,30.0,2.030862282
Density Metric,1.0,1.22664087,1.222222222,1.555555556,0.172288044
Separability Metric,0.04,0.148338831,0.166666667,0.3,0.051713255
Constraint Variability Metric,0.289064826,0.752561825,0.75899205,1.0,0.134157826
