Metric,Min,Mean,Median,Max,Std
Size Metric,16.0,19.08,19.0,20.0,1.034349805
Density Metric,1.0,1.180339683,1.166666667,1.666666667,0.170113641
Separability Metric,0.052631579,0.15400098,0.15,0.3,0.049833371
Constraint Variability Metric,0.333333333,0.765412445,0.773705614,1.0,0.143690285
